experiment_id,scope,comparison,status,evidence_path,claim_supported
P0_code_path,unit tests,"frozen objective; deterministic eval; gradients; plan export",implemented,tests/test_dct_v310_directional_regularized_transport.py,code wiring only
legacy_direction_2fold,6 cancers folds 2 and 3,reported direction off/on,quarantined,experiments/candidate_evidence/DIRECTION_LOSS_2FOLD_LEGACY_VAL.md,none
P1_objective_2x2,BLCA folds 0-4,nll/ipcw/direction/full,implemented_pending_run,experiments/transport_dependency_proof/,objective contribution
P2_resinkhorn,"BLCA UCEC LUSC folds 1 2 4",full versus fixed coupling,implemented_pending_run,experiments/transport_dependency_proof/,transport re-solve necessity
P3_factual_plan,held-out full checkpoints,factual versus feasible uniform/shuffled plans,implemented_pending_run,experiments/transport_dependency_proof/,factual plan necessity
P4_anchor_specificity,"BLCA UCEC LUSC folds 1 2 4","real/noisy/permuted/jitter/swapped anchors",implemented_partial_pending_run,experiments/transport_dependency_proof/,anchor specificity
P5_bidirectional_dose,held-out full checkpoints,high and low alpha sweeps,implemented_pending_run,experiments/transport_dependency_proof/,dose structure
P6_cross_cancer,6 cancers x 5 folds,locked full DCT-Reg,implemented_pending_run,experiments/transport_dependency_proof/,internal cross-cohort generalization
P7_external,independent cohort,locked DCT-Reg,not_implemented,,external generalization

